id_1;id_2;UO;gender;age_1;age_2;laterality;puntuacion_time_a;puntuacion_time_b;puntuacion_distance_a;puntuacion_distance_b;instrucciones_2_time_a;instrucciones_2_time_b;instrucciones_2_distance_a;instrucciones_2_distance_b;topos_time_a;topos_time_b;topos_distance_a;topos_distance_b;numeros_time_a;numeros_time_b;numeros_distance_a;numeros_distance_b;botones4_2_time_a;botones4_2_time_b;botones4_2_distance_a;botones4_2_distance_b;botones4_time_a;botones4_time_b;botones4_distance_a;botones4_distance_b;instrucciones_3_time_a;instrucciones_3_time_b;instrucciones_3_distance_a;instrucciones_3_distance_b;puntuacion_3_time_a;puntuacion_3_time_b;puntuacion_3_distance_a;puntuacion_3_distance_b;puntuacion_2_time_a;puntuacion_2_time_b;puntuacion_2_distance_a;puntuacion_2_distance_b;acrobatas_time_a;acrobatas_time_b;acrobatas_distance_a;acrobatas_distance_b;resultado3_time_a;resultado3_time_b;resultado3_distance_a;resultado3_distance_b;resultado2_time_a;resultado2_time_b;resultado2_distance_a;resultado2_distance_b;resultado1_time_a;resultado1_time_b;resultado1_distance_a;resultado1_distance_b;botones4_3_time_a;botones4_3_time_b;botones4_3_distance_a;botones4_3_distance_b;instrucciones_1_time_a;instrucciones_1_time_b;instrucciones_1_distance_a;instrucciones_1_distance_b;palabras_time_a;palabras_time_b;palabras_distance_a;palabras_distance_b;resultado4_time_a;resultado4_time_b;resultado4_distance_a;resultado4_distance_b;fin_time_a;fin_time_b;fin_distance_a;fin_distance_b
275;414;244588;MAN;17;17;RIGHT;851;684;110.0;117.0;4386;2433;129.0;300.0;14114;14746;4301.0;8175.0;21911;21049;8719.0;11038.0;1559;878;150.0;213.0;2099;1269;100.0;482.0;2116;1961;187.0;80.0;1922;1567;23.0;0.0;941;768;18.0;41.0;8159;9604;281.0;1522.0;1562;1364;127.0;32.0;7712;5475;132.0;48.0;3003;3567;0.0;0.0;1501;921;175.0;244.0;5646;6707;197.0;102.0;28659;15540;0.0;0.0;1003;1565;10.0;63.0;;234;;0.0
125;380;245034;MAN;17;17;RIGHT;1262;1211;144.0;123.0;3089;36021;775.0;782.0;14322;14654;6766.0;6677.0;20853;21221;8378.0;8047.0;2052;1131;1628.0;505.0;2141;1268;450.0;423.0;4420;5584;658.0;1795.0;1466;1897;102.0;194.0;833;789;86.0;24.0;11503;11697;670.0;1642.0;2338;2181;553.0;228.0;6478;45446;206.0;530.0;3000;5248;0.0;0.0;2180;1214;1028.0;252.0;7783;5186;573.0;673.0;11708;16145;0.0;0.0;4204;1854;727.0;62.0;;450;;0.0
297;389;245371;MAN;17;17;RIGHT;1170;695;165.0;535.0;3953;2542;515.0;198.0;15053;14672;5467.0;6105.0;23709;22634;10762.0;12915.0;1104;1229;417.0;245.0;1330;1126;165.0;260.0;2538;1373;584.0;478.0;2002;1380;4.0;49.0;833;698;35.0;91.0;9000;8000;513.0;643.0;1613;1630;163.0;103.0;6811;10467;96.0;120.0;4001;3000;0.0;0.0;1614;1047;407.0;272.0;1545;3512;188.0;173.0;16797;11874;0.0;0.0;1501;2611;0.0;45.0;;;;
194;381;245504;MAN;17;18;RIGHT;1017;1256;92.0;279.0;2064;1924;355.0;274.0;15340;14188;5483.0;5571.0;23915;21978;8919.0;12818.0;1475;1405;243.0;908.0;1705;1576;263.0;269.0;1488;1253;236.0;277.0;1787;1500;7.0;6.0;8632;1710;124.0;181.0;10500;9500;1136.0;1035.0;1944;1501;79.0;49.0;7254;4834;62.0;144.0;3001;3000;0.0;0.0;1610;1125;594.0;281.0;5046;27382;150.0;974.0;9464;12592;0.0;0.0;3140;3000;76.0;420.0;;;;
289;411;244856;WOMAN;18;18;RIGHT;1212;1316;292.0;131.0;5147;3217;427.0;689.0;16166;15501;7964.0;6540.0;22332;29623;10550.0;12629.0;1362;1458;277.0;299.0;2220;1387;993.0;405.0;2347;2170;272.0;149.0;1609;1695;37.0;10.0;911;1224;37.0;160.0;12001;9500;2076.0;457.0;1500;1664;0.0;15.0;2648;7380;457.0;363.0;4503;4001;0.0;0.0;1436;1346;577.0;173.0;6556;5609;429.0;6.0;8289;9727;0.0;0.0;1287;1202;0.0;0.0;;;;
309;360;244793;MAN;17;18;RIGHT;885;837;169.0;211.0;2131;1270;268.0;404.0;14355;15844;7599.0;7399.0;18349;17729;13496.0;11001.0;1225;1140;371.0;387.0;952;1400;409.0;279.0;3306;1384;404.0;233.0;1158;1524;1.0;8.0;1345;1835;85.0;16.0;11501;9177;901.0;1407.0;1626;6164;114.0;96.0;6000;5823;295.0;243.0;3500;3000;0.0;0.0;981;1078;361.0;324.0;4452;1753;335.0;331.0;9079;12326;0.0;0.0;1779;5747;50.0;31.0;;;;
137;420;244795;MAN;18;18;RIGHT;1060;1079;294.0;169.0;5137;1630;249.0;241.0;14310;14357;6012.0;6868.0;17922;17036;9372.0;8668.0;1593;1357;320.0;298.0;2379;1126;284.0;154.0;3304;1375;198.0;265.0;1699;1758;4.0;52.0;2656;1173;99.0;51.0;11005;8554;429.0;483.0;2141;1506;20.0;22.0;10147;4388;202.0;215.0;3003;3524;0.0;0.0;1311;837;216.0;195.0;10280;4431;622.0;846.0;10953;11322;0.0;0.0;1259;1006;25.0;0.0;172;;0.0;
320;395;245612;MAN;18;18;RIGHT;1214;774;198.0;205.0;3954;2003;298.0;686.0;15631;15886;4722.0;5663.0;25315;21548;9047.0;12106.0;2013;1293;220.0;378.0;2516;1891;145.0;846.0;3755;2879;182.0;445.0;3586;19383;1.0;188.0;1204;1075;206.0;279.0;11533;11585;767.0;1553.0;1800;1675;0.0;61.0;7936;6363;64.0;107.0;4013;3030;0.0;0.0;2553;1644;1600.0;352.0;5675;;44.0;;15496;14059;0.0;0.0;4112;1550;52.0;734.0;;91;;0.0
82;357;244965;WOMAN;18;18;LEFT;1237;1227;143.0;123.0;4470;7897;201.0;417.0;15546;14160;6330.0;5716.0;24152;32159;11222.0;13057.0;1263;1084;218.0;246.0;2110;2564;291.0;270.0;4597;2890;250.0;163.0;2034;2465;113.0;158.0;880;1387;59.0;71.0;12014;10578;1293.0;598.0;4652;1510;52.0;102.0;10143;5834;561.0;103.0;3003;3017;0.0;0.0;1181;1175;332.0;212.0;10777;5800;1017.0;979.0;11097;9935;0.0;0.0;4193;1606;82.0;6.0;;;;
128;368;238754;WOMAN;19;19;RIGHT;1032;688;99.0;72.0;3133;1971;444.0;728.0;14314;14259;7782.0;8188.0;21740;21210;8557.0;12695.0;1649;2119;390.0;994.0;2727;882;1533.0;346.0;4907;1251;272.0;1042.0;2542;1843;31.0;3.0;822;761;177.0;139.0;22642;8034;5382.0;892.0;1502;2525;429.0;648.0;14521;8553;495.0;467.0;3002;3520;0.0;0.0;1482;1028;802.0;976.0;8477;1412;1663.0;180.0;10462;9411;0.0;0.0;5275;2123;390.0;701.0;;73;;0.0
267;427;245925;WOMAN;17;18;RIGHT;1188;1022;290.0;235.0;3486;4961;293.0;436.0;13974;16235;5715.0;6634.0;20647;21587;11278.0;11402.0;1063;1309;228.0;313.0;1124;1521;290.0;328.0;1773;6427;274.0;246.0;1483;1532;1.0;21.0;613;1024;17.0;86.0;7007;9501;779.0;765.0;1270;1909;23.0;25.0;5702;6480;424.0;388.0;3002;12501;0.0;0.0;1240;1322;358.0;336.0;3696;;247.0;;10234;12807;0.0;0.0;1207;1500;167.0;10.0;;9730;;0.0
247;459;237576;MAN;20;20;RIGHT;1537;1077;279.0;69.0;4004;4197;460.0;260.0;14274;14371;5566.0;6115.0;23635;22522;14904.0;11458.0;965;1229;337.0;177.0;3007;2248;522.0;365.0;6673;6344;991.0;247.0;1605;1679;96.0;8.0;828;996;61.0;20.0;12015;13092;1277.0;798.0;1758;2083;205.0;89.0;6395;10662;1175.0;48.0;3501;4559;0.0;0.0;1425;1363;311.0;543.0;13439;7706;1435.0;421.0;14878;17418;0.0;0.0;2110;2606;492.0;181.0;687;;0.0;
88;353;245738;MAN;18;18;RIGHT;1108;654;102.0;93.0;1891;1392;185.0;298.0;13896;14189;6245.0;5293.0;19859;19093;9796.0;9051.0;1078;864;361.0;180.0;2712;1543;676.0;373.0;1334;1158;530.0;116.0;1627;1840;20.0;0.0;725;684;55.0;21.0;9595;9600;645.0;532.0;2001;1412;100.0;130.0;7979;3206;170.0;3.0;3003;4754;0.0;0.0;1019;850;211.0;331.0;3692;2512;221.0;86.0;10358;9897;0.0;0.0;1757;1065;0.0;100.0;;;;
95;354;244826;WOMAN;18;18;RIGHT;1503;1103;111.0;98.0;2058;2535;329.0;554.0;15192;14630;8067.0;4958.0;25377;25275;14737.0;13518.0;1290;1144;244.0;293.0;2049;1503;169.0;195.0;2609;2322;437.0;245.0;2061;1377;59.0;4.0;921;750;104.0;3.0;11517;9635;1884.0;3545.0;1503;2015;150.0;631.0;4293;1853;150.0;170.0;3003;3304;0.0;0.0;1120;1172;475.0;346.0;1941;8628;210.0;1444.0;7622;10215;0.0;0.0;1742;2046;102.0;436.0;;;;
288;399;244801;MAN;17;18;RIGHT;963;777;293.0;83.0;3465;1622;745.0;280.0;14461;14573;7833.0;4603.0;28802;23958;10395.0;8689.0;2808;1042;1341.0;321.0;2856;2404;1543.0;171.0;1627;915;310.0;175.0;1871;2103;12.0;214.0;950;843;169.0;117.0;8517;8089;443.0;508.0;1660;2323;67.0;409.0;7829;103511;449.0;453.0;4008;3026;0.0;0.0;1204;1088;309.0;313.0;8537;5629;297.0;81.0;13183;10933;0.0;0.0;1504;2738;0.0;0.0;;;;
285;433;237351;MAN;19;19;RIGHT;1164;936;190.0;140.0;3458;1633;503.0;317.0;14291;14303;4871.0;4517.0;24936;29265;10426.0;10824.0;1131;1299;110.0;133.0;1919;2285;583.0;932.0;2103;1611;219.0;201.0;1978;1622;33.0;20.0;829;1121;44.0;61.0;8512;8075;1366.0;668.0;1350;1575;34.0;23.0;3500;7582;71.0;218.0;3043;3433;0.0;0.0;1239;1457;648.0;1194.0;;;;;14360;11872;0.0;0.0;1397;1337;8.0;14.0;;;;
123;376;245025;MAN;18;18;LEFT;896;2019;174.0;119.0;2690;2448;344.0;242.0;14383;14484;6200.0;7420.0;28308;25384;12977.0;16020.0;1209;1177;386.0;65.0;2880;4392;931.0;916.0;3420;1721;321.0;99.0;1607;2029;1.0;23.0;1126;1813;1.0;103.0;14368;10181;1971.0;397.0;2519;6753;55.0;307.0;8355;7479;174.0;47.0;3002;3171;0.0;0.0;1048;1189;182.0;341.0;4030;4201;1014.0;806.0;14013;13676;0.0;0.0;6451;2285;191.0;51.0;32;;0.0;
222;403;244982;MAN;21;21;RIGHT;1237;1096;88.0;220.0;1845;4008;240.0;476.0;14534;14193;4962.0;4898.0;26869;26225;9618.0;12718.0;1713;1844;1230.0;1131.0;5724;1442;3257.0;352.0;2425;6147;201.0;1250.0;2126;1641;14.0;16.0;848;667;4.0;105.0;9500;10023;281.0;1546.0;10726;1504;153.0;309.0;5448;5485;10.0;1028.0;3006;3007;0.0;0.0;1723;1218;909.0;170.0;2702;9909;294.0;820.0;12115;8228;0.0;0.0;2187;2631;1.0;496.0;;1192;;0.0
