id;code;first_language;ip;region;gender;age;laterality;numeros_errors;topos_errors;palabras_errors;puntuacion_time_length;puntuacion_distance;instrucciones_2_time_length;instrucciones_2_distance;topos_time_length;topos_hits;topos_distance;numeros_time_length;numeros_clicks;numeros_distance;botones4_2_time_length;botones4_2_distance;botones4_time_length;botones4_distance;instrucciones_3_time_length;instrucciones_3_distance;puntuacion_3_time_length;puntuacion_3_distance;puntuacion_2_time_length;puntuacion_2_distance;acrobatas_time_length;acrobatas_distance;resultado3_time_length;resultado3_distance;resultado2_time_length;resultado2_distance;resultado1_time_length;resultado1_distance;botones4_3_time_length;botones4_3_distance;instrucciones_1_time_length;instrucciones_1_distance;palabras_time_length;palabras_distance;palabras_key_ups;resultado4_time_length;resultado4_distance;puntuacion_4_time_length;puntuacion_4_distance;botones4_4_time_length;botones4_4_distance;botones4_5_time_length;botones4_5_distance
491;C2SD;es;156.35.81.152;ES;MAN;38;LEFT;0;1;-2;1055;33.0;1329;62.0;14681;11;5018.0;40069;20;10288.0;1285;331.0;1429;266.0;1329;47.0;2096;89.0;1080;72.0;8555;1063.0;1404;215.0;6690;441.0;3061;0.0;1295;259.0;1941;16.0;5346;0.0;21;2827;62.0;-;-;-;-;-;-
494;C2FD;en;182.186.233.151;PK;WOMAN;19;RIGHT;2;11;0;1947;282.0;6640;249.0;21675;1;3653.0;43002;22;17200.0;4021;344.0;4260;893.0;4984;388.0;-;-;2834;150.0;29772;3171.0;2987;499.0;2406;64.0;9613;0.0;1837;630.0;8148;267.0;20005;0.0;21;3002;464.0;-;-;-;-;-;-
495;C2FD;en;39.36.199.73;PK;WOMAN;18;RIGHT;13;10;2;1721;184.0;25131;330.0;33200;2;2557.0;109412;33;15890.0;2920;512.0;3835;660.0;15204;187.0;4117;30.0;1267;212.0;63753;8053.0;2457;0.0;4888;342.0;17044;0.0;2633;652.0;47978;273.0;11471;0.0;23;4207;0.0;-;-;-;-;-;-
497;C2FD;en;182.186.233.151;PK;WOMAN;22;RIGHT;0;11;0;1445;412.0;2355;600.0;15316;1;5562.0;44841;20;19749.0;2791;1114.0;4821;1604.0;2001;632.0;1873;26.0;1548;4.0;11256;1814.0;4308;71.0;16575;43.0;2972;0.0;2408;197.0;2197;837.0;4637;0.0;21;2823;0.0;-;-;-;-;-;-
499;C2FD;en;119.154.108.216;PK;MAN;21;RIGHT;0;12;7;2295;310.0;8508;301.0;18951;0;1683.0;38011;20;17161.0;1611;250.0;6742;546.0;3069;242.0;2641;88.0;2730;141.0;14737;1054.0;6236;74.0;110959;3196.0;8995;0.0;1333;236.0;1648;32.0;8583;0.0;28;2935;0.0;-;-;-;-;-;-
500;C2FD;en;39.36.40.130;PK;MAN;19;RIGHT;0;7;2;3941;151.0;425120;706.0;25301;5;4269.0;41097;20;10367.0;1544;163.0;3734;743.0;5827;64.0;2698;85.0;1087;103.0;18868;1608.0;2523;47.0;3566;325.0;14128;0.0;2080;938.0;48311;2401.0;10182;0.0;23;6364;4.0;-;-;-;-;-;-
501;C2FD;en;39.36.86.55;PK;MAN;22;RIGHT;1;12;0;2652;245.0;17868;323.0;24927;0;2919.0;54307;21;9008.0;1748;263.0;3887;355.0;10184;212.0;2554;10.0;1563;119.0;34250;385.0;2560;14.0;10176;480.0;16456;0.0;2077;269.0;18965;700.0;20352;0.0;21;1993;0.0;-;-;-;-;-;-
505;C2FD;en;39.36.86.55;PK;MAN;21;RIGHT;2;9;10;1811;164.0;15780;1727.0;24768;3;3388.0;51409;22;18207.0;2219;150.0;5233;1125.0;7512;203.0;2461;26.0;1766;30.0;19501;1257.0;4709;156.0;8240;370.0;22723;0.0;1980;244.0;13249;1790.0;11498;0.0;31;3474;309.0;-;-;-;-;-;-
509;UNKNOWN;en;156.35.225.31;ES;WOMAN;29;LEFT;5;5;7;801;47.0;5822;361.0;16252;7;4084.0;50468;25;10277.0;1454;352.0;3161;304.0;5743;371.0;2769;1.0;961;106.0;11040;1509.0;2039;205.0;7196;93.0;2670;0.0;1328;344.0;3709;308.0;6238;0.0;28;4567;42.0;-;-;-;-;-;-
510;UNKNOWN;es;88.6.122.94;ES;MAN;22;RIGHT;2;1;2;1041;236.0;32625;562.0;21429;11;5822.0;26409;22;10872.0;2588;884.0;1365;274.0;32339;418.0;1314;8.0;804;98.0;34301;2069.0;1547;122.0;6311;608.0;2070;0.0;1658;268.0;12624;441.0;35523;0.0;25;2345;0.0;-;-;-;-;-;-
